,MARKA,SATIŞ
0,BMC,0.0
1,BMW,12.034
2,CHERY,2.32
3,CHEVROLET,18.061
4,CHRYSLER,174.0
5,CITROEN,11.462
6,DACIA,13.23
7,DAIHATSU,619.0
8,DFM,0.0
9,DODGE,72.0
10,FERRARI,23.0
11,FIAT,45.22
12,FORD,55.212
13,GEELY,1.995
14,HONDA,16.259
15,HYUNDAI,47.572
16,IKCO,112.0
17,INFINITI,94.0
18,ISUZU,0.0
19,IVECO,0.0
20,JAGUAR,213.0
21,JEEP,573.0
22,KARSAN,0.0
23,KIA,8.934
24,LADA,101.0
25,LAMBORGHINI,4.0
26,LANCIA,307.0
27,LAND ROVER,2.315
28,MAHINDRA,0.0
29,MASERATI,26.0
30,MAZDA,2.253
31,MERCEDES-BENZ,12.3
32,MINI,708.0
33,MITSUBISHI,2.144
34,NISSAN,11.299
35,OPEL,39.768
36,OTOKAR,0.0
37,PEUGEOT,18.851
38,PORSCHE,390.0
39,PROTON,1.134
40,RENAULT,75.834
41,SAAB,2.0
42,SEAT,5.113
43,SKODA,6.332
44,SMART,50.0
45,SSANGYONG,1.114
46,SUBARU,1.134
47,SUZUKI,1.662
48,TATA,778.0
49,TOYOTA,38.519
50,VOLKSWAGEN,39.822
51,VOLVO,3.276
